"id","duration","selected","order","prolificId","studyId","sessionId"
"7","6744","dogD.jpg","{""dogD.jpg"",""dogC.jpg"",""dogB.jpg"",""dogA.jpg""}","69641bb5dc3d0e590f30424d","699dbe8a0fcd929abffcc240","699dbeb70be996926f32cab7"
"8","7759","dogD.jpg","{""dogD.jpg"",""dogC.jpg"",""dogA.jpg"",""dogB.jpg""}","69694b768ee3e560544826a7","699dbe8a0fcd929abffcc240","699dbebcfa57465eb24c82f1"
"9","9772","dogD.jpg","{""dogC.jpg"",""dogA.jpg"",""dogB.jpg"",""dogD.jpg""}","6984da6cb846c1e93f39bb52","699dbe8a0fcd929abffcc240","699dbec05237b1facecbbe60"
"10","11897","dogD.jpg","{""dogC.jpg"",""dogD.jpg"",""dogA.jpg"",""dogB.jpg""}","698d55f5354ebe57e10e0f13","699dbe8a0fcd929abffcc240","699dbec1da1fbf2c23afd5cf"
"11","8753","dogD.jpg","{""dogA.jpg"",""dogD.jpg"",""dogB.jpg"",""dogC.jpg""}","58a5cf959e040a0001399f07","699dbe8a0fcd929abffcc240","699dbecb9ea143f827eb2ef8"
"12","15985","dogD.jpg","{""dogB.jpg"",""dogC.jpg"",""dogA.jpg"",""dogD.jpg""}","695f9d1a869eae29cfca2030","699dbe8a0fcd929abffcc240","699dbecc4c77556145b1dfb0"
"13","21463","dogD.jpg","{""dogC.jpg"",""dogD.jpg"",""dogB.jpg"",""dogA.jpg""}","6629497a938b0963356f7002","699dbe8a0fcd929abffcc240","699dbec78503a628d8086716"
"14","25889","dogD.jpg","{""dogB.jpg"",""dogD.jpg"",""dogC.jpg"",""dogA.jpg""}","6737d8ebf11f10c6dab07aab","699dbe8a0fcd929abffcc240","699dbeba8b3da09046a367cd"
"15","8447","dogD.jpg","{""dogA.jpg"",""dogD.jpg"",""dogB.jpg"",""dogC.jpg""}","645005f03fb72ab1bb1a88b1","699dbe8a0fcd929abffcc240","699dbed553dface227021dc2"
"16","13675","dogD.jpg","{""dogA.jpg"",""dogB.jpg"",""dogD.jpg"",""dogC.jpg""}","66045663fbc92e11eb7e557c","699dbe8a0fcd929abffcc240","699dbed6360da35d9f3a3376"
